File,Total,Good Choices,Bad Choices,Good Choice %,Bad Choice %,Median Diff,Mean Diff,Max Diff,Min Diff,Std Dev Diff,25th Percentile Diff,75th Percentile Diff
ams,1001,651,350,0.6503496503496503,0.34965034965034963,0.10325000000000006,12.551310000000003,282.135,-0.009500000000000064,50.59174409277565,0.031000000000000097,0.22375
blr,1002,626,376,0.624750499001996,0.37524950099800397,6.174999999999999,18.9256875,216.6,0.0020000000000000018,29.6976314652593,2.7375000000000016,31.348749999999995
tor,1002,637,365,0.6357285429141717,0.36427145708582837,0.11500000000000021,6.051493150684932,182.6,0.004999999999999893,15.925996466640099,0.06499999999999972,1.450000000000001
fra,1001,521,480,0.5204795204795205,0.47952047952047955,0.051999999999999935,2.886936458333333,282.333,0.0004999999999998894,24.144488110743143,0.01887500000000003,0.24862500000000004
lon,1001,837,164,0.8361638361638362,0.16383616383616384,0.1625000000000001,6.389826219512196,297.25,-8.719999999999999,31.2019753411677,0.05000000000000021,2.2662500000000003
sgp,1001,597,404,0.5964035964035964,0.4035964035964036,0.07225000000000004,9.775300742574258,168.5,0.0009999999999998899,17.14976773716304,0.02037500000000006,20.25
syd,1001,687,314,0.6863136863136863,0.31368631368631367,0.06275000000000003,8.239565286624204,180.7325,0.0005000000000000004,25.489349387107985,0.016000000000000014,0.9749999999999979
ny1,1002,550,452,0.5489021956087824,0.45109780439121755,0.13175000000000003,1.6924668141592922,223.305,0.0010000000000000009,15.197655502336675,0.03987500000000005,0.22437499999999988
ny2,1001,537,464,0.5364635364635365,0.46353646353646355,0.12449999999999994,1.3960387931034481,217.52,0.000500000000000056,11.21336300914173,0.039000000000000035,0.18599999999999997
ny3,1001,606,395,0.6053946053946054,0.3946053946053946,0.09050000000000002,1.6019708860759494,211.595,0.000500000000000056,15.094267377948512,0.033999999999999975,0.1752499999999999
sfo02,1000,542,458,0.542,0.458,0.4325,6.922220524017467,156.425,0.0010000000000000009,23.967870600782764,0.05025000000000024,1.0
sfo03,1001,583,418,0.5824175824175825,0.4175824175824176,0.03950000000000006,4.100025119617225,155.83,0.0004999999999999449,18.12395810323226,0.014624999999999985,0.609875
